zone_key,zone_name,state,priority,raw,filtered,existing,client,prospect,new,client_brand_hints,inserted,skipped
ca_los_angeles,Los Angeles Metro,CA,high,852,139,145,1,138,0,0,0,0
ca_orange_county,Orange County,CA,high,359,56,58,0,56,0,0,0,0
ca_san_diego,San Diego,CA,high,432,59,62,0,59,0,0,0,0
ca_napa_sonoma,Napa & Sonoma,CA,high,172,24,26,0,24,0,0,0,0
ca_santa_barbara,Santa Barbara & Central Coast,CA,high,140,12,13,0,12,0,0,0,0
ca_palm_springs,Palm Springs / Coachella Valley,CA,high,164,17,17,0,17,0,0,0,0
ca_monterey,Monterey & Carmel,CA,medium,158,7,7,0,7,0,0,0,0
ca_lake_tahoe,Lake Tahoe (CA side),CA,medium,68,5,5,0,5,0,0,0,0
ca_sacramento,Sacramento & Wine Country East,CA,low,162,12,12,0,12,0,0,0,0
